ts,buys,sells
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
310,0,0
300,0,1
300,0,1
300,0,1
300,0,1
300,0,1
305,0,0
305,0,0
360,0,1
350,0,0
350,0,0
350,0,0
350,0,0
350,0,0
350,0,0
350,0,0
350,0,0
350,0,0
350,0,0
360,0,1
360,0,1
