,imb,reconstructed_imb,reconstructed_error
0,0.4980394032134659,0.49820286,2.671823724180891e-08
1,0.49937834736036724,0.49899626,1.459924459102852e-07
2,0.49827850038255544,0.49836138,6.868850005945421e-09
3,0.49787203519510326,0.49810144,5.262796493987091e-08
4,0.4986132364192808,0.49854204,5.0688466094004516e-09
5,0.4985893267023718,0.4985273,3.848746384037233e-09
6,0.49736993114001526,0.49783474,2.1604919993083824e-07
7,0.49748947972456004,0.49789366,1.6336271407955262e-07
8,0.49878060443764344,0.49863783,2.0385896245471744e-08
9,0.4993305279265493,0.49895886,1.3814011956279275e-07
10,0.4983024100994644,0.4983692,4.459170020588566e-09
11,0.4978481254781943,0.49809918,6.302740675975589e-08
12,0.49808722264728383,0.49825665,2.870682987587861e-08
13,0.498517597551645,0.49848196,1.2700989122000458e-09
14,0.49808722264728383,0.49825665,2.870682987587861e-08
15,0.4981111323641928,0.4982657,2.3895313107356867e-08
16,0.4984219586840092,0.49843213,1.0344796955885693e-10
17,0.4988045141545524,0.49866042,2.076444789468289e-08
18,0.498517597551645,0.49848196,1.2700989122000458e-09
19,0.4983502295332823,0.49839026,1.602226795744802e-09
20,0.49746557000765107,0.49787888,1.7082457833401918e-07
21,0.4983980489671002,0.49842367,6.562201782546087e-10
22,0.49763293802601377,0.49798647,1.2498181098543935e-07
23,0.4975612088752869,0.4979384,1.422690305751254e-07
24,0.4986371461361897,0.4985653,5.163821982183717e-09
25,0.498517597551645,0.49848196,1.2700989122000458e-09
26,0.4986371461361897,0.4985653,5.163821982183717e-09
27,0.4972503825554705,0.49775037,2.499891392122849e-07
28,0.4982545906656465,0.49835852,1.0800866965815468e-08
29,0.49856541698546286,0.49851942,2.1156652881252877e-09
30,0.4989001530221882,0.49871704,3.3530443522069844e-08
31,0.4991392501912777,0.49883246,9.411763331425803e-08
32,0.4977285768936496,0.49803802,9.575733230466473e-08
33,0.497513389441469,0.4979225,1.6737955668779415e-07
34,0.4981111323641928,0.4982657,2.3895313107356867e-08
35,0.4987566947207345,0.49862584,1.712172347057091e-08
36,0.49937834736036724,0.49899626,1.459924459102852e-07
37,0.4983024100994644,0.4983692,4.459170020588566e-09
38,0.49818286151491964,0.4982883,1.111803618734552e-08
39,0.49868496557000763,0.49857584,1.1909171368466516e-08
40,0.498995791889824,0.4987709,5.05796815283907e-08
41,0.4976090283091048,0.49797818,1.3627344849697123e-07
42,0.4983980489671002,0.49842367,6.562201782546087e-10
43,0.49677218821729147,0.49749115,5.169076187128744e-07
44,0.4984458684009181,0.49845472,7.834694485514226e-11
45,0.49827850038255544,0.49836138,6.868850005945421e-09
46,0.49808722264728383,0.49825665,2.870682987587861e-08
47,0.49818286151491964,0.4982883,1.111803618734552e-08
48,0.49808722264728383,0.49825665,2.870682987587861e-08
49,0.4981589517980107,0.49827978,1.4599490513922889e-08
50,0.4988523335883703,0.49870074,2.2981236606914067e-08
51,0.4981589517980107,0.49827978,1.4599490513922889e-08
52,0.498995791889824,0.4987709,5.05796815283907e-08
53,0.4989240627390971,0.49871975,4.174294558635412e-08
54,0.49806331293037487,0.49822593,2.6443450414897065e-08
55,0.4974177505738332,0.49784485,1.8240969715330888e-07
