imb,reconstructed_imb,reconstructed_error
0.4983980489671002,0.49842367,6.562201782546085e-10
0.4976329380260137,0.49798647,1.2498181098543937e-07
0.4975612088752869,0.4979384,1.422690305751254e-07
0.4986371461361897,0.4985653,5.163821982183717e-09
0.498517597551645,0.49848196,1.2700989122000458e-09
0.4986371461361897,0.4985653,5.163821982183717e-09
0.4972503825554705,0.49775037,2.499891392122849e-07
0.4982545906656465,0.49835852,1.0800866965815468e-08
0.4985654169854628,0.49851942,2.1156652881252877e-09
0.4989001530221882,0.49871704,3.3530443522069844e-08
0.4991392501912777,0.49883246,9.411763331425805e-08
0.4977285768936496,0.49803802,9.575733230466473e-08
0.497513389441469,0.4979225,1.673795566877942e-07
0.4981111323641928,0.4982657,2.3895313107356867e-08
0.4987566947207345,0.49862584,1.712172347057091e-08
0.4993783473603672,0.49899626,1.459924459102852e-07
0.4983024100994644,0.4983692,4.459170020588566e-09
0.4981828615149196,0.4982883,1.111803618734552e-08
0.4986849655700076,0.49857584,1.1909171368466516e-08
0.498995791889824,0.4987709,5.05796815283907e-08
0.4976090283091048,0.49797818,1.3627344849697125e-07
0.4983980489671002,0.49842367,6.562201782546085e-10
0.4967721882172914,0.49749115,5.169076187128744e-07
0.4984458684009181,0.49845472,7.834694485514225e-11
0.4982785003825554,0.49836138,6.868850005945421e-09
0.4980872226472838,0.49825665,2.8706829875878613e-08
0.4981828615149196,0.4982883,1.111803618734552e-08
0.4980872226472838,0.49825665,2.8706829875878613e-08
0.4981589517980107,0.49827978,1.4599490513922889e-08
0.4988523335883703,0.49870074,2.2981236606914067e-08
0.4981589517980107,0.49827978,1.4599490513922889e-08
0.498995791889824,0.4987709,5.05796815283907e-08
0.4989240627390971,0.49871975,4.174294558635412e-08
0.4980633129303748,0.49822593,2.6443450414897065e-08
0.4974177505738332,0.49784485,1.824096971533089e-07
0.4989001530221882,0.49871704,3.3530443522069844e-08
0.4975612088752869,0.4979384,1.422690305751254e-07
0.4978481254781943,0.49809918,6.302740675975589e-08
0.4987806044376434,0.49863783,2.0385896245471744e-08
0.4981111323641928,0.4982657,2.3895313107356867e-08
0.497967674062739,0.49817562,4.324194232210827e-08
0.4981828615149196,0.4982883,1.111803618734552e-08
0.4998087222647283,0.49924725,3.1524780134018255e-07
0.4994500765110941,0.49902058,1.844702792431918e-07
0.4973460214231063,0.4978257,2.301030165204017e-07
0.498995791889824,0.4987709,5.05796815283907e-08
0.4987327850038255,0.498623,1.2049783842704034e-08
0.4974177505738332,0.49784485,1.824096971533089e-07
0.4986849655700076,0.49857584,1.1909171368466516e-08
0.498971882172915,0.4987385,5.4468407581529844e-08
0.4971308339709258,0.49769044,3.1315803954041535e-07
0.4986132364192808,0.49854204,5.0688466094004516e-09
0.4988762433052792,0.4987086,2.8102344476228773e-08
0.4982785003825554,0.49836138,6.868850005945421e-09
0.4984219586840092,0.49843213,1.0344796955885692e-10
0.4987327850038255,0.498623,1.2049783842704034e-08
0.4973221117061974,0.4978172,2.45101033106533e-07
0.498469778117827,0.49846503,2.25314685275535e-11
0.4972025631216526,0.49773285,2.812019769043556e-07
0.4990197016067329,0.49880162,4.7560104281898544e-08
0.4995457153787299,0.49909195,2.0590026080348254e-07
0.4996652639632746,0.49915612,2.592301829060007e-07
0.4971069242540168,0.4976683,3.1513834801322826e-07
0.4982067712318286,0.49829665,8.077880899584345e-09
0.497513389441469,0.4979225,1.673795566877942e-07
0.498469778117827,0.49846503,2.25314685275535e-11
0.4978003060443764,0.49808168,7.917361724843794e-08
0.4978481254781943,0.49809918,6.302740675975589e-08
0.4997848125478194,0.4992359,3.0130689943220705e-07
0.498493687834736,0.49847972,1.9499062545375487e-10
0.498015493496557,0.49819434,3.1984959798247484e-08
0.498469778117827,0.49846503,2.25314685275535e-11
0.4990675210405508,0.49881276,6.490069978899119e-08
0.4982785003825554,0.49836138,6.868850005945421e-09
0.4980633129303748,0.49822593,2.6443450414897065e-08
0.4970591048201989,0.49764556,3.439260732516123e-07
0.4988284238714613,0.49866888,2.5454479678804903e-08
0.4988762433052792,0.4987086,2.8102344476228773e-08
0.498493687834736,0.49847972,1.9499062545375487e-10
0.4987566947207345,0.49862584,1.712172347057091e-08
0.4987327850038255,0.498623,1.2049783842704034e-08
0.4981111323641928,0.4982657,2.3895313107356867e-08
0.4988284238714613,0.49866888,2.5454479678804903e-08
0.4980633129303748,0.49822593,2.6443450414897065e-08
0.4988045141545524,0.49866042,2.076444789468289e-08
0.4983024100994644,0.4983692,4.459170020588566e-09
0.4979437643458301,0.4981671,4.987772835346757e-08
0.4983024100994644,0.4983692,4.459170020588566e-09
0.4977285768936496,0.49803802,9.575733230466473e-08
0.4995218056618209,0.4990688,2.0521717867653055e-07
0.4992348890589135,0.4989142,1.0283378352163205e-07
0.4990675210405508,0.49881276,6.490069978899119e-08
0.4984219586840092,0.49843213,1.0344796955885692e-10
0.498517597551645,0.49848196,1.2700989122000458e-09
0.4996413542463657,0.49915385,2.3765798901038585e-07
0.4977763963274674,0.49807388,8.849409850351566e-08
0.5007172915072685,0.49978104,8.765625080465204e-07
0.4968439173680183,0.4975268,4.663214123100692e-07
0.4985893267023718,0.4985273,3.848746384037233e-09
0.501434583014537,0.5001872,1.5559190073895263e-06
0.5048297628156082,0.502141,7.229451714742945e-06
0.4976568477429227,0.4979888,1.101858437165327e-07
0.4995457153787299,0.49909195,2.0590026080348254e-07
0.4998087222647283,0.49924725,3.1524780134018255e-07
0.4978481254781943,0.49809918,6.302740675975589e-08
